,ID,detected,Label,Degree,Eccentricity,Closeness.Centrality,Betweenness.Centrality,Modularity.Class,Authority,Hub,HOME,ENTER,EXIT,Executed,TENURE,Killed,Arrested,TYPE,Gender,eventyear
49,125,0,125,1,6,0.278571429,0,2,0.002336449,0.002336449,KB,1912,1934,1,22,NA,1,PGK,Male,NA
50,126,0,126,1,1,1,0,6,0.002336449,0.002336449,GW,1919,1929,0,10,NA,NA,PGK,Male,NA
51,132,1,132,1,4,0.351351351,0,10,0.002336449,0.002336449,HB,1919,1921,1,2,NA,1,PGK,Male,1919
52,137,0,137,2,5,0.339130435,0.000224,1,0.003504673,0.003504673,PB,1919,1921,0,2,NA,NA,PGK,Male,NA
53,143,0,143,2,4,0.393939394,0.000313,10,0.003504673,0.003504673,HN,1919,1920,1,1,NA,1,PGK,Male,1919
54,144,0,144,10,5,0.393939394,0.006539354,3,0.012850467,0.012850467,HH,1898,1926,0,28,NA,NA,PGK,Male,NA
55,148,0,148,10,5,0.393939394,0.004968619,3,0.012850467,0.012850467,KK,1908,1946,0,38,NA,NA,PGK,Male,NA
56,155,0,155,1,1,1,0,8,0.002336449,0.002336449,PB,1919,1933,0,14,NA,NA,PGK,Male,NA
57,156,0,156,1,7,0.240246407,0,0,0.002336449,0.002336449,DG,1907,1946,0,39,NA,NA,PGK,Male,NA
58,157,0,157,1,6,0.28960396,0,5,0.002336449,0.002336449,KK,1919,1946,0,27,NA,NA,PGK,Male,NA
59,160,0,160,14,5,0.409090909,0.024493457,0,0.017523365,0.017523365,HH,1915,1946,0,31,NA,NA,PGK,Male,NA
60,163,0,163,1,6,0.302325581,0,2,0.002336449,0.002336449,HN,1919,1927,0,8,NA,NA,PGK,Male,NA
61,166,0,166,2,5,0.371428571,0.001251173,10,0.003504673,0.003504673,HB,1919,1921,0,2,NA,NA,PGK,Male,NA
62,167,1,167,1,6,0.276595745,0,10,0.002336449,0.002336449,HB,1919,1921,1,2,NA,1,PGK,Male,1919
63,168,0,168,8,6,0.35347432,0.012719469,0,0.010514019,0.010514019,PB,1914,1946,0,32,NA,NA,PGK,Male,NA
64,171,0,171,1,6,0.300771208,0,3,0.002336449,0.002336449,KN,1911,1941,0,30,NA,NA,PGK,Male,NA
65,173,0,173,11,5,0.40625,0.028133029,5,0.014018691,0.014018691,PN,1910,1932,0,22,NA,NA,PGK,Male,NA
66,174,0,174,2,6,0.290322581,9.38E-05,3,0.003504673,0.003504673,KB,1905,1920,0,15,NA,NA,PGK,Male,NA
67,175,0,175,4,5,0.393939394,6.08E-05,10,0.005841122,0.005841122,HB,1919,1931,0,12,NA,NA,PGK,Male,NA
68,178,0,178,3,5,0.371428571,0,10,0.004672897,0.004672897,HB,1919,1921,1,2,NA,1,PGK,Male,1920
69,181,0,181,3,6,0.327731092,0,3,0.004672897,0.004672897,CB,1912,1946,0,34,NA,NA,PGK,Male,NA
70,183,0,183,22,5,0.419354839,0.059407858,3,0.02686916,0.02686916,CB,1904,1923,0,19,NA,NA,PGK,Male,NA
71,186,0,186,2,5,0.357798165,0.001097018,1,0.003504673,0.003504673,KK,1919,1921,1,2,NA,1,PGK,Male,1920
72,187,0,187,5,6,0.333333333,0.001323918,0,0.007009346,0.007009346,SL,1915,1946,0,31,NA,NA,PGK,Male,NA
73,190,0,190,13,5,0.420863309,0.022985611,0,0.01635514,0.01635514,KK,1915,1946,0,31,NA,NA,PGK,Male,NA
74,191,0,191,1,6,0.296954315,0,0,0.002336449,0.002336449,KK,1919,1946,0,27,NA,NA,PGK,Male,NA
75,192,0,192,17,5,0.431734317,0.049249212,2,0.021028038,0.021028038,DJ,1904,1929,1,25,NA,1,PGK,Male,1928
76,194,0,194,1,6,0.287469287,0,0,0.002336449,0.002336449,CN,1919,1946,0,27,NA,NA,PGK,Male,NA
77,196,0,196,4,6,0.344117647,0.003899007,4,0.005841122,0.005841122,HH,1918,1946,0,28,NA,NA,PGK,Male,NA
